city,dev_role,visitors,share,loc_quo,cities,lat,long
calgary,android developers,545,0.021639864999007347,0.7210608717560526,Calgary,51.048615,-114.070846
calgary,back-end web,3527,0.14004367679174112,1.0211385561548665,Calgary,51.048615,-114.070846
calgary,data scientists,792,0.03144729005360333,0.8343538255380755,Calgary,51.048615,-114.070846
calgary,database administrators,1712,0.06797697041890013,1.1497385984500015,Calgary,51.048615,-114.070846
calgary,desktop developers,985,0.039110581695453644,1.0722842720063377,Calgary,51.048615,-114.070846
calgary,embedded developers,1247,0.04951359936470121,0.6797282195927494,Calgary,51.048615,-114.070846
calgary,front-end web,2266,0.08997419098669843,0.9195673193322079,Calgary,51.048615,-114.070846
calgary,full-stack web,14826,0.58868374032162,1.0233790798348308,Calgary,51.048615,-114.070846
calgary,graphics programmers,425,0.01687512408179472,1.0384194090445793,Calgary,51.048615,-114.070846
calgary,ios developers,535,0.021242803255906294,1.0313488353026732,Calgary,51.048615,-114.070846
calgary,machine learning specialists,788,0.03128846535636291,0.803675842645498,Calgary,51.048615,-114.070846
calgary,systems administrators,2665,0.10581695453643042,1.0452313924104095,Calgary,51.048615,-114.070846
edmonton,android developers,528,0.02952194576460721,0.9836992952561882,Edmonton,53.544389,-113.490927
edmonton,back-end web,2318,0.1296058149287112,0.9450301345800134,Edmonton,53.544389,-113.490927
edmonton,data scientists,823,0.04601621470506011,1.2208939056594181,Edmonton,53.544389,-113.490927
edmonton,database administrators,1131,0.06323734973441432,1.0695743191450466,Edmonton,53.544389,-113.490927
edmonton,desktop developers,496,0.027732736930388593,0.7603409701677178,Edmonton,53.544389,-113.490927
edmonton,embedded developers,1128,0.06306961140620632,0.8658266662413117,Edmonton,53.544389,-113.490927
edmonton,front-end web,1602,0.0895722672630696,0.9154595200059765,Edmonton,53.544389,-113.490927
edmonton,full-stack web,10107,0.5651104277327369,0.982398782107073,Edmonton,53.544389,-113.490927
edmonton,graphics programmers,252,0.014090019569471625,0.8670365754846169,Edmonton,53.544389,-113.490927
edmonton,ios developers,282,0.01576740285155158,0.7655153781163233,Edmonton,53.544389,-113.490927
edmonton,machine learning specialists,817,0.045680738048644115,1.1733559069060047,Edmonton,53.544389,-113.490927
edmonton,systems administrators,1742,0.09740005591277608,0.9620915335218164,Edmonton,53.544389,-113.490927
guelph,android developers,78,0.023179791976225855,0.7723727024298934,Guelph,43.544805,-80.248167
guelph,back-end web,346,0.10282317979197622,0.7497426214263955,Guelph,43.544805,-80.248167
guelph,data scientists,321,0.09539375928677563,2.530970009107657,Guelph,43.544805,-80.248167
guelph,database administrators,152,0.04517087667161961,0.7640043402220528,Guelph,43.544805,-80.248167
guelph,desktop developers,100,0.029717682020802376,0.8147616744625433,Guelph,43.544805,-80.248167
guelph,embedded developers,779,0.23150074294205053,3.1780680429906436,Guelph,43.544805,-80.248167
guelph,front-end web,190,0.05646359583952452,0.5770774585090163,Guelph,43.544805,-80.248167
guelph,full-stack web,1440,0.4279346210995542,0.7439297347181121,Guelph,43.544805,-80.248167
guelph,graphics programmers,39,0.011589895988112928,0.7131901895671507,Guelph,43.544805,-80.248167
guelph,ios developers,55,0.01634472511144131,0.7935446656429604,Guelph,43.544805,-80.248167
guelph,machine learning specialists,318,0.09450222882615156,2.42738522067813,Guelph,43.544805,-80.248167
guelph,systems administrators,289,0.08588410104011887,0.8483400312298193,Guelph,43.544805,-80.248167
halifax,android developers,83,0.014449860724233984,0.48148309479045487,Halifax,44.648862,-63.57532
halifax,back-end web,916,0.1594707520891365,1.1627924749461795,Halifax,44.648862,-63.57532
halifax,data scientists,307,0.05344707520891365,1.4180481557668794,Halifax,44.648862,-63.57532
halifax,database administrators,380,0.06615598885793872,1.1189391560094044,Halifax,44.648862,-63.57532
halifax,desktop developers,234,0.04073816155988858,1.1169071902655838,Halifax,44.648862,-63.57532
halifax,embedded developers,421,0.07329387186629527,1.0061864552358346,Halifax,44.648862,-63.57532
halifax,front-end web,533,0.0927924791086351,0.9483711976997082,Halifax,44.648862,-63.57532
halifax,full-stack web,3419,0.5952298050139275,1.0347588839681894,Halifax,44.648862,-63.57532
halifax,graphics programmers,143,0.024895543175487464,1.5319600085206642,Halifax,44.648862,-63.57532
halifax,ios developers,183,0.03185933147632312,1.5467866465548452,Halifax,44.648862,-63.57532
halifax,machine learning specialists,302,0.05257660167130919,1.350483130775639,Halifax,44.648862,-63.57532
halifax,systems administrators,534,0.09296657381615599,0.9182987908051334,Halifax,44.648862,-63.57532
hamilton,android developers,159,0.021685761047463174,0.7225901717175465,Hamilton,43.250021,-79.866091
hamilton,back-end web,1174,0.1601200218221495,1.1675266719689403,Hamilton,43.250021,-79.866091
hamilton,data scientists,528,0.07201309328968904,1.9106383975428654,Hamilton,43.250021,-79.866091
hamilton,database administrators,382,0.05210038188761593,0.8812075572217976,Hamilton,43.250021,-79.866091
hamilton,desktop developers,189,0.025777414075286414,0.7067324107106664,Hamilton,43.250021,-79.866091
hamilton,embedded developers,538,0.07337697763229678,1.007327340469122,Hamilton,43.250021,-79.866091
hamilton,front-end web,619,0.08442444080741954,0.8628469549770852,Hamilton,43.250021,-79.866091
hamilton,full-stack web,4499,0.6136115657392253,1.0667140885853947,Hamilton,43.250021,-79.866091
hamilton,graphics programmers,132,0.01800327332242226,1.1078406507544625,Hamilton,43.250021,-79.866091
hamilton,ios developers,129,0.017594108019639936,0.8542028373397423,Hamilton,43.250021,-79.866091
hamilton,machine learning specialists,517,0.07051282051282051,1.8111930322407874,Hamilton,43.250021,-79.866091
hamilton,systems administrators,497,0.06778505182760503,0.6695624951291423,Hamilton,43.250021,-79.866091
london,android developers,230,0.025324818321955517,0.8438470192457552,London,42.98695,-81.243177
london,back-end web,1435,0.1580048447478529,1.1521037059833281,London,42.98695,-81.243177
london,data scientists,518,0.05703589517727373,1.5132660796218338,London,42.98695,-81.243177
london,database administrators,468,0.05153049988989209,0.8715687733026671,London,42.98695,-81.243177
london,desktop developers,245,0.026976436908170007,0.7396056963981307,London,42.98695,-81.243177
london,embedded developers,938,0.10328121559127945,1.4178560575679717,London,42.98695,-81.243177
london,front-end web,855,0.09414225941422594,0.9621664187924223,London,42.98695,-81.243177
london,full-stack web,5337,0.5876458929751156,1.0215748661463493,London,42.98695,-81.243177
london,graphics programmers,195,0.021471041620788372,1.3212315502606597,London,42.98695,-81.243177
london,ios developers,132,0.014534243558687513,0.7056448711443016,London,42.98695,-81.243177
london,machine learning specialists,511,0.0562651398370403,1.445226960001868,London,42.98695,-81.243177
london,systems administrators,792,0.08720546135212508,0.8613920726993988,London,42.98695,-81.243177
montreal,android developers,5395,0.04410237964832542,1.469533211838274,Montreal,45.501689,-73.567256
montreal,back-end web,16581,0.13554431083389876,0.9883311052005763,Montreal,45.501689,-73.567256
montreal,data scientists,5168,0.042246728085736006,1.1208825668195146,Montreal,45.501689,-73.567256
montreal,database administrators,7297,0.05965061432693801,1.0089095364253944,Montreal,45.501689,-73.567256
montreal,desktop developers,4794,0.03918939907953143,1.074445186972149,Montreal,45.501689,-73.567256
montreal,embedded developers,8279,0.06767814663734682,0.9290931523741462,Montreal,45.501689,-73.567256
montreal,front-end web,10418,0.08516377964342062,0.870403253333802,Montreal,45.501689,-73.567256
montreal,full-stack web,72471,0.5924269797022783,1.02988639880866,Montreal,45.501689,-73.567256
montreal,graphics programmers,2713,0.022177897309713968,1.364728277349368,Montreal,45.501689,-73.567256
montreal,ios developers,1996,0.016316654268407327,0.7921818120251822,Montreal,45.501689,-73.567256
montreal,machine learning specialists,5098,0.04167450073163355,1.0704516540155211,Montreal,45.501689,-73.567256
montreal,systems administrators,11195,0.09151550327395794,0.9039655065979677,Montreal,45.501689,-73.567256
ottawa,android developers,1231,0.028983118687165965,0.9657450648484026,Ottawa,45.42153,-75.697193
ottawa,back-end web,6312,0.14861205942598826,1.083615535281378,Ottawa,45.42153,-75.697193
ottawa,data scientists,1374,0.032349963506227486,0.8583033947100088,Ottawa,45.42153,-75.697193
ottawa,database administrators,2361,0.0555882560685612,0.940200235884261,Ottawa,45.42153,-75.697193
ottawa,desktop developers,1426,0.033574270713158945,0.9204967266950226,Ottawa,45.42153,-75.697193
ottawa,embedded developers,3248,0.07647211169448827,1.0498176864041453,Ottawa,45.42153,-75.697193
ottawa,front-end web,3667,0.08633720245803216,0.8823960399345185,Ottawa,45.42153,-75.697193
ottawa,full-stack web,24347,0.5732347609069292,0.9965222783727148,Ottawa,45.42153,-75.697193
ottawa,graphics programmers,529,0.012454971393591223,0.7664230480031305,Ottawa,45.42153,-75.697193
ottawa,ios developers,812,0.019118027923622067,0.9281899189472295,Ottawa,45.42153,-75.697193
ottawa,machine learning specialists,1364,0.03211451981258682,0.8248938858961173,Ottawa,45.42153,-75.697193
ottawa,systems administrators,5357,0.1261271866833047,1.245850398316003,Ottawa,45.42153,-75.697193
quebec city,android developers,270,0.018461538461538463,0.6151560103376548,Québec City,46.803283,-71.242796
quebec city,back-end web,1932,0.1321025641025641,0.963235361012767,Québec City,46.803283,-71.242796
quebec city,data scientists,681,0.046564102564102566,1.2354303674778686,Québec City,46.803283,-71.242796
quebec city,database administrators,1197,0.08184615384615385,1.3843170949177273,Québec City,46.803283,-71.242796
quebec city,desktop developers,494,0.033777777777777775,0.9260762250091147,Québec City,46.803283,-71.242796
quebec city,embedded developers,879,0.0601025641025641,0.8250947096267824,Québec City,46.803283,-71.242796
quebec city,front-end web,1189,0.0812991452991453,0.8309053550455048,Québec City,46.803283,-71.242796
quebec city,full-stack web,8385,0.5733333333333334,0.9966936385651596,Québec City,46.803283,-71.242796
quebec city,graphics programmers,236,0.016136752136752138,0.992983312983313,Québec City,46.803283,-71.242796
quebec city,ios developers,219,0.014974358974358974,0.7270126970325967,Québec City,46.803283,-71.242796
quebec city,machine learning specialists,671,0.04588034188034188,1.1784829329780058,Québec City,46.803283,-71.242796
quebec city,systems administrators,1573,0.10755555555555556,1.0624048252693252,Québec City,46.803283,-71.242796
regina,android developers,75,0.021150592216582064,0.7047578375625274,Regina,50.454722,-104.606667
regina,back-end web,320,0.09024252679075014,0.6580098839300674,Regina,50.454722,-104.606667
regina,data scientists,87,0.024534686971235193,0.6509498878261426,Regina,50.454722,-104.606667
regina,database administrators,297,0.08375634517766498,1.4166254000794458,Regina,50.454722,-104.606667
regina,desktop developers,105,0.02961082910321489,0.8118321168343997,Regina,50.454722,-104.606667
regina,embedded developers,571,0.16102650874224478,2.210589888414242,Regina,50.454722,-104.606667
regina,front-end web,319,0.08996051889452905,0.9194275858263216,Regina,50.454722,-104.606667
regina,full-stack web,1600,0.4512126339537507,0.7843966777359301,Regina,50.454722,-104.606667
regina,graphics programmers,57,0.016074450084602367,0.9891495242738465,Regina,50.454722,-104.606667
regina,ios developers,65,0.01833051325437112,0.8899556837038224,Regina,50.454722,-104.606667
regina,machine learning specialists,85,0.023970671178793007,0.6157109062070667,Regina,50.454722,-104.606667
regina,systems administrators,412,0.1161872532430908,1.1476664114899158,Regina,50.454722,-104.606667
saskatoon,android developers,52,0.013121372697451426,0.4372166109305394,Saskatoon,52.133214,-106.670046
saskatoon,back-end web,641,0.16174615190512237,1.1793837165930705,Saskatoon,52.133214,-106.670046
saskatoon,data scientists,204,0.05147615442846329,1.3657560412413283,Saskatoon,52.133214,-106.670046
saskatoon,database administrators,229,0.05778450668685339,0.9773468473345727,Saskatoon,52.133214,-106.670046
saskatoon,desktop developers,108,0.02725208175624527,0.7471629768689818,Saskatoon,52.133214,-106.670046
saskatoon,embedded developers,284,0.07166288165531164,0.9837960395417685,Saskatoon,52.133214,-106.670046
saskatoon,front-end web,282,0.07115821347464042,0.7272615279532528,Saskatoon,52.133214,-106.670046
saskatoon,full-stack web,2242,0.565733030532425,0.9834811267288206,Saskatoon,52.133214,-106.670046
