city,dev_role,visitors,city_visitors_share,location_quotient
calgary,android developers,545,0.021639865,0.721060872
calgary,back-end web,3527,0.140043677,1.021138556
calgary,data scientists,792,0.03144729,0.834353826
calgary,database administrators,1712,0.06797697,1.149738598
calgary,desktop developers,985,0.039110582,1.072284272
calgary,embedded developers,1247,0.049513599,0.67972822
calgary,front-end web,2266,0.089974191,0.919567319
calgary,full-stack web,14826,0.58868374,1.02337908
calgary,graphics programmers,425,0.016875124,1.038419409
calgary,ios developers,535,0.021242803,1.031348835
calgary,machine learning specialists,788,0.031288465,0.803675843
calgary,systems administrators,2665,0.105816955,1.045231392
edmonton,android developers,528,0.029521946,0.983699295
edmonton,back-end web,2318,0.129605815,0.945030135
edmonton,data scientists,823,0.046016215,1.220893906
edmonton,database administrators,1131,0.06323735,1.069574319
edmonton,desktop developers,496,0.027732737,0.76034097
edmonton,embedded developers,1128,0.063069611,0.865826666
edmonton,front-end web,1602,0.089572267,0.91545952
edmonton,full-stack web,10107,0.565110428,0.982398782
edmonton,graphics programmers,252,0.01409002,0.867036575
edmonton,ios developers,282,0.015767403,0.765515378
edmonton,machine learning specialists,817,0.045680738,1.173355907
edmonton,systems administrators,1742,0.097400056,0.962091534
guelph,android developers,78,0.023179792,0.772372702
guelph,back-end web,346,0.10282318,0.749742621
guelph,data scientists,321,0.095393759,2.530970009
guelph,database administrators,152,0.045170877,0.76400434
guelph,desktop developers,100,0.029717682,0.814761674
guelph,embedded developers,779,0.231500743,3.178068043
guelph,front-end web,190,0.056463596,0.577077459
guelph,full-stack web,1440,0.427934621,0.743929735
guelph,graphics programmers,39,0.011589896,0.71319019
guelph,ios developers,55,0.016344725,0.793544666
guelph,machine learning specialists,318,0.094502229,2.427385221
guelph,systems administrators,289,0.085884101,0.848340031
halifax,android developers,83,0.014449861,0.481483095
halifax,back-end web,916,0.159470752,1.162792475
halifax,data scientists,307,0.053447075,1.418048156
halifax,database administrators,380,0.066155989,1.118939156
halifax,desktop developers,234,0.040738162,1.11690719
halifax,embedded developers,421,0.073293872,1.006186455
halifax,front-end web,533,0.092792479,0.948371198
halifax,full-stack web,3419,0.595229805,1.034758884
halifax,graphics programmers,143,0.024895543,1.531960009
halifax,ios developers,183,0.031859331,1.546786647
halifax,machine learning specialists,302,0.052576602,1.350483131
halifax,systems administrators,534,0.092966574,0.918298791
hamilton,android developers,159,0.021685761,0.722590172
hamilton,back-end web,1174,0.160120022,1.167526672
hamilton,data scientists,528,0.072013093,1.910638398
hamilton,database administrators,382,0.052100382,0.881207557
hamilton,desktop developers,189,0.025777414,0.706732411
hamilton,embedded developers,538,0.073376978,1.00732734
hamilton,front-end web,619,0.084424441,0.862846955
hamilton,full-stack web,4499,0.613611566,1.066714089
hamilton,graphics programmers,132,0.018003273,1.107840651
hamilton,ios developers,129,0.017594108,0.854202837
hamilton,machine learning specialists,517,0.070512821,1.811193032
hamilton,systems administrators,497,0.067785052,0.669562495
london,android developers,230,0.025324818,0.843847019
london,back-end web,1435,0.158004845,1.152103706
london,data scientists,518,0.057035895,1.51326608
london,database administrators,468,0.0515305,0.871568773
london,desktop developers,245,0.026976437,0.739605696
london,embedded developers,938,0.103281216,1.417856058
london,front-end web,855,0.094142259,0.962166419
london,full-stack web,5337,0.587645893,1.021574866
london,graphics programmers,195,0.021471042,1.32123155
london,ios developers,132,0.014534244,0.705644871
london,machine learning specialists,511,0.05626514,1.44522696
london,systems administrators,792,0.087205461,0.861392073
montreal,android developers,5395,0.04410238,1.469533212
montreal,back-end web,16581,0.135544311,0.988331105
montreal,data scientists,5168,0.042246728,1.120882567
montreal,database administrators,7297,0.059650614,1.008909536
montreal,desktop developers,4794,0.039189399,1.074445187
montreal,embedded developers,8279,0.067678147,0.929093152
montreal,front-end web,10418,0.08516378,0.870403253
montreal,full-stack web,72471,0.59242698,1.029886399
montreal,graphics programmers,2713,0.022177897,1.364728277
montreal,ios developers,1996,0.016316654,0.792181812
montreal,machine learning specialists,5098,0.041674501,1.070451654
montreal,systems administrators,11195,0.091515503,0.903965507
ottawa,android developers,1231,0.028983119,0.965745065
ottawa,back-end web,6312,0.148612059,1.083615535
ottawa,data scientists,1374,0.032349964,0.858303395
ottawa,database administrators,2361,0.055588256,0.940200236
ottawa,desktop developers,1426,0.033574271,0.920496727
ottawa,embedded developers,3248,0.076472112,1.049817686
ottawa,front-end web,3667,0.086337202,0.88239604
ottawa,full-stack web,24347,0.573234761,0.996522278
ottawa,graphics programmers,529,0.012454971,0.766423048
ottawa,ios developers,812,0.019118028,0.928189919
ottawa,machine learning specialists,1364,0.03211452,0.824893886
ottawa,systems administrators,5357,0.126127187,1.245850398
quebec city,android developers,270,0.018461538,0.61515601
quebec city,back-end web,1932,0.132102564,0.963235361
quebec city,data scientists,681,0.046564103,1.235430367
quebec city,database administrators,1197,0.081846154,1.384317095
quebec city,desktop developers,494,0.033777778,0.926076225
quebec city,embedded developers,879,0.060102564,0.82509471
quebec city,front-end web,1189,0.081299145,0.830905355
quebec city,full-stack web,8385,0.573333333,0.996693639
quebec city,graphics programmers,236,0.016136752,0.992983313
quebec city,ios developers,219,0.014974359,0.727012697
quebec city,machine learning specialists,671,0.045880342,1.178482933
quebec city,systems administrators,1573,0.107555556,1.062404825
regina,android developers,75,0.021150592,0.704757838
regina,back-end web,320,0.090242527,0.658009884
regina,data scientists,87,0.024534687,0.650949888
