city,region,dev_role,dev_role_parent_group,visitors,city_visitors_share,location_quotient
calgary,canada,all developers,-,25185,1,1
calgary,canada,mobile developers,all developers,1082,0.042962081,0.843612499
calgary,canada,other kinds of developers,all developers,8576,0.340520151,0.947595666
calgary,canada,web developers,all developers,16463,0.653682748,1.016153812
calgary,canada,android developers,mobile developers,545,0.021639865,0.721060872
calgary,canada,ios developers,mobile developers,535,0.021242803,1.031348835
calgary,canada,back-end web,other kinds of developers,3527,0.140043677,1.021138556
calgary,canada,data scientists,other kinds of developers,792,0.03144729,0.834353826
calgary,canada,database administrators,other kinds of developers,1712,0.06797697,1.149738598
calgary,canada,desktop developers,other kinds of developers,985,0.039110582,1.072284272
calgary,canada,embedded developers,other kinds of developers,1247,0.049513599,0.67972822
calgary,canada,front-end web,other kinds of developers,2266,0.089974191,0.919567319
calgary,canada,full-stack web,other kinds of developers,14826,0.58868374,1.02337908
calgary,canada,graphics programmers,other kinds of developers,425,0.016875124,1.038419409
calgary,canada,machine learning specialists,other kinds of developers,788,0.031288465,0.803675843
calgary,canada,systems administrators,other kinds of developers,2665,0.105816955,1.045231392
edmonton,canada,all developers,-,17885,1,1
edmonton,canada,mobile developers,all developers,812,0.045401174,0.891507056
edmonton,canada,other kinds of developers,all developers,6115,0.341906626,0.951453932
edmonton,canada,web developers,all developers,11268,0.630025161,0.979377949
edmonton,canada,android developers,mobile developers,528,0.029521946,0.983699295
edmonton,canada,ios developers,mobile developers,282,0.015767403,0.765515378
edmonton,canada,back-end web,other kinds of developers,2318,0.129605815,0.945030135
edmonton,canada,data scientists,other kinds of developers,823,0.046016215,1.220893906
edmonton,canada,database administrators,other kinds of developers,1131,0.06323735,1.069574319
edmonton,canada,desktop developers,other kinds of developers,496,0.027732737,0.76034097
edmonton,canada,embedded developers,other kinds of developers,1128,0.063069611,0.865826666
edmonton,canada,front-end web,other kinds of developers,1602,0.089572267,0.91545952
edmonton,canada,full-stack web,other kinds of developers,10107,0.565110428,0.982398782
edmonton,canada,graphics programmers,other kinds of developers,252,0.01409002,0.867036575
edmonton,canada,machine learning specialists,other kinds of developers,817,0.045680738,1.173355907
edmonton,canada,systems administrators,other kinds of developers,1742,0.097400056,0.962091534
guelph,canada,all developers,-,3365,1,1
guelph,canada,mobile developers,all developers,132,0.03922734,0.770276348
guelph,canada,other kinds of developers,all developers,1786,0.530757801,1.47698687
guelph,canada,web developers,all developers,1589,0.472213967,0.734059488
guelph,canada,android developers,mobile developers,78,0.023179792,0.772372702
guelph,canada,ios developers,mobile developers,55,0.016344725,0.793544666
guelph,canada,back-end web,other kinds of developers,346,0.10282318,0.749742621
guelph,canada,data scientists,other kinds of developers,321,0.095393759,2.530970009
guelph,canada,database administrators,other kinds of developers,152,0.045170877,0.76400434
guelph,canada,desktop developers,other kinds of developers,100,0.029717682,0.814761674
guelph,canada,embedded developers,other kinds of developers,779,0.231500743,3.178068043
guelph,canada,front-end web,other kinds of developers,190,0.056463596,0.577077459
guelph,canada,full-stack web,other kinds of developers,1440,0.427934621,0.743929735
guelph,canada,graphics programmers,other kinds of developers,39,0.011589896,0.71319019
guelph,canada,machine learning specialists,other kinds of developers,318,0.094502229,2.427385221
guelph,canada,systems administrators,other kinds of developers,289,0.085884101,0.848340031
halifax,canada,all developers,-,5744,1,1
halifax,canada,mobile developers,all developers,268,0.046657382,0.916174211
halifax,canada,other kinds of developers,all developers,2158,0.375696379,1.045483679
halifax,canada,web developers,all developers,3799,0.661385794,1.028128244
halifax,canada,android developers,mobile developers,83,0.014449861,0.481483095
halifax,canada,ios developers,mobile developers,183,0.031859331,1.546786647
halifax,canada,back-end web,other kinds of developers,916,0.159470752,1.162792475
halifax,canada,data scientists,other kinds of developers,307,0.053447075,1.418048156
halifax,canada,database administrators,other kinds of developers,380,0.066155989,1.118939156
halifax,canada,desktop developers,other kinds of developers,234,0.040738162,1.11690719
halifax,canada,embedded developers,other kinds of developers,421,0.073293872,1.006186455
halifax,canada,front-end web,other kinds of developers,533,0.092792479,0.948371198
halifax,canada,full-stack web,other kinds of developers,3419,0.595229805,1.034758884
halifax,canada,graphics programmers,other kinds of developers,143,0.024895543,1.531960009
halifax,canada,machine learning specialists,other kinds of developers,302,0.052576602,1.350483131
halifax,canada,systems administrators,other kinds of developers,534,0.092966574,0.918298791
hamilton,canada,all developers,-,7332,1,1
hamilton,canada,mobile developers,all developers,288,0.039279869,0.771307815
hamilton,canada,other kinds of developers,all developers,2448,0.333878887,0.929114431
hamilton,canada,web developers,all developers,5002,0.682214948,1.060507292
hamilton,canada,android developers,mobile developers,159,0.021685761,0.722590172
hamilton,canada,ios developers,mobile developers,129,0.017594108,0.854202837
hamilton,canada,back-end web,other kinds of developers,1174,0.160120022,1.167526672
hamilton,canada,data scientists,other kinds of developers,528,0.072013093,1.910638398
hamilton,canada,database administrators,other kinds of developers,382,0.052100382,0.881207557
hamilton,canada,desktop developers,other kinds of developers,189,0.025777414,0.706732411
hamilton,canada,embedded developers,other kinds of developers,538,0.073376978,1.00732734
hamilton,canada,front-end web,other kinds of developers,619,0.084424441,0.862846955
hamilton,canada,full-stack web,other kinds of developers,4499,0.613611566,1.066714089
hamilton,canada,graphics programmers,other kinds of developers,132,0.018003273,1.107840651
hamilton,canada,machine learning specialists,other kinds of developers,517,0.070512821,1.811193032
hamilton,canada,systems administrators,other kinds of developers,497,0.067785052,0.669562495
kitchener_waterloo,canada,all developers,-,15365,1,1
kitchener_waterloo,canada,mobile developers,all developers,823,0.053563293,1.051780151
kitchener_waterloo,canada,other kinds of developers,all developers,6540,0.425642694,1.184473728
kitchener_waterloo,canada,web developers,all developers,9121,0.593621868,0.922788809
kitchener_waterloo,canada,android developers,mobile developers,417,0.027139603,0.90431737
kitchener_waterloo,canada,ios developers,mobile developers,412,0.026814188,1.301842385
kitchener_waterloo,canada,back-end web,other kinds of developers,2535,0.164985356,1.203002609
kitchener_waterloo,canada,data scientists,other kinds of developers,1082,0.070419785,1.868365035
kitchener_waterloo,canada,database administrators,other kinds of developers,535,0.034819395,0.588923011
kitchener_waterloo,canada,desktop developers,other kinds of developers,593,0.038594208,1.058126983
kitchener_waterloo,canada,embedded developers,other kinds of developers,2382,0.15502766,2.128237027
kitchener_waterloo,canada,front-end web,other kinds of developers,971,0.063195574,0.645880605
kitchener_waterloo,canada,full-stack web,other kinds of developers,8246,0.53667426,0.932964803
kitchener_waterloo,canada,graphics programmers,other kinds of developers,246,0.016010413,0.985208986
kitchener_waterloo,canada,machine learning specialists,other kinds of developers,1062,0.069118126,1.775368885
kitchener_waterloo,canada,systems administrators,other kinds of developers,1192,0.077578913,0.766303621
london,canada,all developers,-,9082,1,1
london,canada,mobile developers,all developers,363,0.03996917,0.784843069
london,canada,other kinds of developers,all developers,3442,0.378991412,1.05465306
london,canada,web developers,all developers,5942,0.654261176,1.017052982
london,canada,android developers,mobile developers,230,0.025324818,0.843847019
london,canada,ios developers,mobile developers,132,0.014534244,0.705644871
london,canada,back-end web,other kinds of developers,1435,0.158004845,1.152103706
london,canada,data scientists,other kinds of developers,518,0.057035895,1.51326608
london,canada,database administrators,other kinds of developers,468,0.0515305,0.871568773
london,canada,desktop developers,other kinds of developers,245,0.026976437,0.739605696
london,canada,embedded developers,other kinds of developers,938,0.103281216,1.417856058
london,canada,front-end web,other kinds of developers,855,0.094142259,0.962166419
london,canada,full-stack web,other kinds of developers,5337,0.587645893,1.021574866
london,canada,graphics programmers,other kinds of developers,195,0.021471042,1.32123155
london,canada,machine learning specialists,other kinds of developers,511,0.05626514,1.44522696
london,canada,systems administrators,other kinds of developers,792,0.087205461,0.861392073
montreal,canada,all developers,-,122329,1,1
montreal,canada,mobile developers,all developers,7395,0.060451733,1.187043004
montreal,canada,other kinds of developers,all developers,43909,0.35894187,0.998859419
montreal,canada,web developers,all developers,79629,0.650941314,1.011892237
montreal,canada,android developers,mobile developers,5395,0.04410238,1.469533212
montreal,canada,ios developers,mobile developers,1996,0.016316654,0.792181812
montreal,canada,back-end web,other kinds of developers,16581,0.135544311,0.988331105
montreal,canada,data scientists,other kinds of developers,5168,0.042246728,1.120882567
montreal,canada,database administrators,other kinds of developers,7297,0.059650614,1.008909536
montreal,canada,desktop developers,other kinds of developers,4794,0.039189399,1.074445187
montreal,canada,embedded developers,other kinds of developers,8279,0.067678147,0.929093152
montreal,canada,front-end web,other kinds of developers,10418,0.08516378,0.870403253
montreal,canada,full-stack web,other kinds of developers,72471,0.59242698,1.029886399
montreal,canada,graphics programmers,other kinds of developers,2713,0.022177897,1.364728277
montreal,canada,machine learning specialists,other kinds of developers,5098,0.041674501,1.070451654
montreal,canada,systems administrators,other kinds of developers,11195,0.091515503,0.903965507
ottawa,canada,all developers,-,42473,1,1
ottawa,canada,mobile developers,all developers,2032,0.047842159,0.939438741
ottawa,canada,other kinds of developers,all developers,15945,0.37541497,1.044700577
ottawa,canada,web developers,all developers,27101,0.638075954,0.991892957
ottawa,canada,android developers,mobile developers,1231,0.028983119,0.965745065
ottawa,canada,ios developers,mobile developers,812,0.019118028,0.928189919
ottawa,canada,back-end web,other kinds of developers,6312,0.148612059,1.083615535
ottawa,canada,data scientists,other kinds of developers,1374,0.032349964,0.858303395
ottawa,canada,database administrators,other kinds of developers,2361,0.055588256,0.940200236
ottawa,canada,desktop developers,other kinds of developers,1426,0.033574271,0.920496727
ottawa,canada,embedded developers,other kinds of developers,3248,0.076472112,1.049817686
ottawa,canada,front-end web,other kinds of developers,3667,0.086337202,0.88239604
ottawa,canada,full-stack web,other kinds of developers,24347,0.573234761,0.996522278
ottawa,canada,graphics programmers,other kinds of developers,529,0.012454971,0.766423048
ottawa,canada,machine learning specialists,other kinds of developers,1364,0.03211452,0.824893886
ottawa,canada,systems administrators,other kinds of developers,5357,0.126127187,1.245850398
quebec city,canada,all developers,-,14625,1,1
quebec city,canada,mobile developers,all developers,490,0.033504274,0.657896999
quebec city,canada,other kinds of developers,all developers,5450,0.372649573,1.037005061
quebec city,canada,web developers,all developers,9226,0.630837607,0.980640902
quebec city,canada,android developers,mobile developers,270,0.018461538,0.61515601
quebec city,canada,ios developers,mobile developers,219,0.014974359,0.727012697
quebec city,canada,back-end web,other kinds of developers,1932,0.132102564,0.963235361
quebec city,canada,data scientists,other kinds of developers,681,0.046564103,1.235430367
quebec city,canada,database administrators,other kinds of developers,1197,0.081846154,1.384317095
quebec city,canada,desktop developers,other kinds of developers,494,0.033777778,0.926076225
quebec city,canada,embedded developers,other kinds of developers,879,0.060102564,0.82509471
quebec city,canada,front-end web,other kinds of developers,1189,0.081299145,0.830905355
quebec city,canada,full-stack web,other kinds of developers,8385,0.573333333,0.996693639
quebec city,canada,graphics programmers,other kinds of developers,236,0.016136752,0.992983313
quebec city,canada,machine learning specialists,other kinds of developers,671,0.045880342,1.178482933
quebec city,canada,systems administrators,other kinds of developers,1573,0.107555556,1.062404825
regina,canada,all developers,-,3546,1,1
regina,canada,mobile developers,all developers,140,0.039481105,0.775259335
regina,canada,other kinds of developers,all developers,1634,0.460800902,1.282311595
regina,canada,web developers,all developers,1846,0.520586576,0.809255003
regina,canada,android developers,mobile developers,75,0.021150592,0.704757838
regina,canada,ios developers,mobile developers,65,0.018330513,0.889955684
regina,canada,back-end web,other kinds of developers,320,0.090242527,0.658009884
regina,canada,data scientists,other kinds of developers,87,0.024534687,0.650949888
regina,canada,database administrators,other kinds of developers,297,0.083756345,1.4166254
regina,canada,desktop developers,other kinds of developers,105,0.029610829,0.811832117
