Ref_Date,GEO,SEX,AGE,Value
2016,"St. John's, Newfoundland and Labrador",Both sexes,All ages,217454
2016,"Halifax, Nova Scotia",Both sexes,All ages,425871
2016,"Moncton, New Brunswick",Both sexes,All ages,149744
2016,"Saint John, New Brunswick",Both sexes,All ages,127549
2016,"Saguenay, Quebec",Both sexes,All ages,159669
2016,"Québec, Quebec",Both sexes,All ages,807211
2016,"Sherbrooke, Quebec",Both sexes,All ages,215594
2016,"Trois-Rivières, Quebec",Both sexes,All ages,157764
2016,"Montréal, Quebec",Both sexes,All ages,4093767
2016,"Ottawa-Gatineau, Ontario/Quebec",Both sexes,All ages,1351135
2016,"Ottawa-Gatineau (Ontario part), Ontario",Both sexes,All ages,1018741
2016,"Ottawa-Gatineau (Quebec part), Quebec",Both sexes,All ages,332394
2016,"Kingston, Ontario",Both sexes,All ages,171372
2016,"Peterborough, Ontario",Both sexes,All ages,124082
2016,"Oshawa, Ontario",Both sexes,All ages,393977
2016,"Toronto, Ontario",Both sexes,All ages,6242273
2016,"Hamilton, Ontario",Both sexes,All ages,778417
2016,"St. Catharines-Niagara, Ontario",Both sexes,All ages,411700
2016,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,517316
2016,"Brantford, Ontario",Both sexes,All ages,145455
2016,"Guelph, Ontario",Both sexes,All ages,156029
2016,"London, Ontario",Both sexes,All ages,512431
2016,"Windsor, Ontario",Both sexes,All ages,340279
2016,"Barrie, Ontario",Both sexes,All ages,205003
2016,"Greater Sudbury, Ontario",Both sexes,All ages,165536
2016,"Thunder Bay, Ontario",Both sexes,All ages,124166
2016,"Winnipeg, Manitoba",Both sexes,All ages,811874
2016,"Regina, Saskatchewan",Both sexes,All ages,247224
2016,"Saskatoon, Saskatchewan",Both sexes,All ages,315150
2016,"Calgary, Alberta",Both sexes,All ages,1469341
2016,"Edmonton, Alberta",Both sexes,All ages,1392594
2016,"Kelowna, British Columbia",Both sexes,All ages,198304
2016,"Abbotsford-Mission, British Columbia",Both sexes,All ages,186792
2016,"Vancouver, British Columbia",Both sexes,All ages,2548740
2016,"Victoria, British Columbia",Both sexes,All ages,370899
