Country,2016
Afghanistan,20.17
Albania,53.95
Algeria,
American Samoa,
Andorra,
Angola,132.33
Antigua and Barbuda,
Argentina,
Armenia,197.08
Aruba,1.52
Australia,1.55
Austria,0.85
Azerbaijan,
"Bahamas, The",1.14
Bahrain,
Bangladesh,31.89
Barbados,
Belarus,
Belgium,0.87
Belize,
Benin,223.38
Bermuda,
Bhutan,22.04
Bolivia,3.44
Bosnia and Herzegovina,0.81
Botswana,5.29
Brazil,2.19
British Virgin Islands,
Brunei Darussalam,0.8
Bulgaria,0.75
Burkina Faso,
Burundi,676.58
Cabo Verde,
Cambodia,"1,642.92"
Cameroon,
Canada,1.36
Cayman Islands,
Central African Republic,
Chad,
Channel Islands,
Chile,429.79
China,3.85
Colombia,"1,371.54"
Comoros,
"Congo, Dem. Rep.",
"Congo, Rep.",
Costa Rica,373.24
Cote d'Ivoire,235.14
Croatia,3.99
Cuba,
Curacao,
Cyprus,0.7
Czech Republic,14.19
Denmark,8.27
Djibouti,
Dominica,
Dominican Republic,22.3
Ecuador,0.61
"Egypt, Arab Rep.",2.74
El Salvador,0.52
Equatorial Guinea,
Eritrea,
Estonia,0.61
Ethiopia,8.58
Faroe Islands,
Fiji,1.28
Finland,0.97
France,0.87
French Polynesia,
Gabon,
"Gambia, The",
Georgia,0.85
Germany,0.83
Ghana,1.43
Gibraltar,
Greece,0.69
Greenland,
Grenada,
Guam,
Guatemala,4.35
Guinea,"3,987.88"
Guinea-Bissau,244.24
Guyana,
Haiti,28.33
Honduras,11.75
"Hong Kong SAR, China",6.45
Hungary,148.69
Iceland,157.35
India,19.98
Indonesia,"4,985.70"
"Iran, Islamic Rep.","12,032.33"
Iraq,
Ireland,1
Isle of Man,
Israel,4.33
Italy,0.82
Jamaica,79.75
Japan,108.75
Jordan,0.33
Kazakhstan,
Kenya,46.49
Kiribati,
"Korea, Dem. Peopleês Rep.",
"Korea, Rep.","1,041.39"
Kosovo,
Kuwait,0.2
Kyrgyz Republic,20.69
Lao PDR,"3,243.18"
Latvia,0.57
Lebanon,
Lesotho,4.67
Liberia,
Libya,
Liechtenstein,
Lithuania,0.51
Luxembourg,0.99
"Macao SAR, China",6.51
"Macedonia, FYR",22.97
Madagascar,
Malawi,
Malaysia,1.66
Maldives,11.93
Mali,
Malta,0.66
Marshall Islands,
Mauritania,
Mauritius,19.46
Mexico,9.94
"Micronesia, Fed. Sts.",
Moldova,
Monaco,
Mongolia,830.58
Montenegro,0.44
Morocco,4.2
Mozambique,19.83
Myanmar,
Namibia,
Nauru,
Nepal,
Netherlands,0.89
New Caledonia,
New Zealand,1.62
Nicaragua,11.26
Niger,
Nigeria,123.66
Northern Mariana Islands,
Norway,10.39
Oman,
Pakistan,32.08
Palau,
Panama,0.59
Papua New Guinea,
Paraguay,"2,597.83"
Peru,1.74
Philippines,20.2
Poland,1.85
Portugal,0.68
Puerto Rico,
Qatar,2.81
Romania,1.87
Russian Federation,26.88
Rwanda,282.71
Samoa,1.86
San Marino,
Sao Tome and Principe,"13,568.25"
Saudi Arabia,1.94
Senegal,235.31
Serbia,49
Seychelles,8.63
Sierra Leone,
Singapore,1.17
Sint Maarten (Dutch part),
Slovak Republic,0.54
Slovenia,0.65
Solomon Islands,
Somalia,
South Africa,6.26
South Sudan,15.64
Spain,0.73
Sri Lanka,49.19
St. Kitts and Nevis,
St. Lucia,
St. Martin (French part),
St. Vincent and the Grenadines,
Sudan,
Suriname,3.25
Swaziland,5.22
Sweden,9.42
Switzerland,1.41
Syrian Arab Republic,
"Taiwan, China",
Tajikistan,
Tanzania,
Thailand,12.82
Timor-Leste,0.65
Togo,233.79
Tonga,
Trinidad and Tobago,
Tunisia,0.83
Turkey,1.62
Turkmenistan,
Turks and Caicos Islands,
Tuvalu,
Uganda,
Ukraine,5.91
United Arab Emirates,
United Kingdom,0.79
United States,1
Uruguay,23.43
Uzbekistan,
Vanuatu,
"Venezuela, RB",
Vietnam,
Virgin Islands (U.S.),
West Bank and Gaza,
"Yemen, Rep.",
Zambia,
Zimbabwe,0.51
