city_so,city_consolidated
calgary,calgary
edmonton,edmonton
guelph_area,guelph
halifax,halifax
hamilton_burlington,hamilton
london_ontario,london
montreal,montreal
vancouver_city,NA
greater_toronto_area,NA
toronto_core,NA
toronto_muncipality,NA
X401_towns,NA
ottawa,ottawa
quebec_city_metro,quebec city
regina,regina
saskatoon,saskatoon
toronto_plus_immediate_area,toronto
brampton_area,toronto
mississauga_oakville,toronto
vancouver_metro,vancouver
waterloo_kitchener_cambridge,kitchener_waterloo
winnipeg,winnipeg
victoria_bc,victoria
