city_statcan,city_consolidated
Abbotsford - Mission,NA
Barrie,NA
Brantford,NA
Calgary,calgary
Edmonton,edmonton
Greater Sudbury,NA
Guelph,guelph
Halifax,halifax
Hamilton,hamilton
Kelowna,NA
Kingston,NA
Kitchener - Cambridge - Waterloo,kitchener_waterloo
London,london
Moncton,NA
Montr´è_al,montreal
Oshawa,toronto
Ottawa - Gatineau,ottawa
Peterborough,NA
Qu´è_bec,quebec city
Regina,regina
Saguenay,NA
Saint John,NA
Saskatoon,saskatoon
Sherbrooke,NA
St. Catharines - Niagara,NA
St. John's,NA
Thunder Bay,NA
Toronto,toronto
Vancouver,vancouver
Victoria,victoria
Windsor,NA
Winnipeg,winnipeg
