original_country_label,corrected_country_label
united states of america,united states
bosnia herzegovina,bosnia and herzegovina
bosnia-herzegovina,bosnia and herzegovina
ivory coast,cote d'ivoire
ivory coast (cote d'ivoire),cote d'ivoire
russian federation,russia
azerbaidjan,azerbaijan
ireland {republic},ireland
korea south,south korea
korea north,north korea
slovakia,slovak republic
trinidad & tobago,trinidad and tobago
tadjikistan,tajikistan
macedonia [fyrom],macedonia
myanmar [burma],myanmar
"myanmar, {burma}",myanmar
vatican city state,vatican city
brunei darussalam,brunei
