country,is_eu,currency_code,
argentina,FALSE,ars,
australia,FALSE,aud,
bulgaria,TRUE,bgn,
brazil,FALSE,brl,
canada,FALSE,cad,
switzerland,FALSE,chf,
china,FALSE,cny,
colombia,FALSE,cop,
czech republic,TRUE,czk,
denmark,TRUE,dkk,
austria,TRUE,eur,
belgium,TRUE,eur,
cyprus,TRUE,eur,
estonia,TRUE,eur,
finland,TRUE,eur,
france,TRUE,eur,
germany,TRUE,eur,
greece,TRUE,eur,
ireland,TRUE,eur,
italy,TRUE,eur,
latvia,TRUE,eur,
lithuania,TRUE,eur,
luxembourg,TRUE,eur,
malta,TRUE,eur,
netherlands,TRUE,eur,
portugal,TRUE,eur,
slovak republic,TRUE,eur,
slovenia,TRUE,eur,
spain,TRUE,eur,
united kingdom,TRUE,gbp,
croatia,TRUE,hrk,
hungary,TRUE,huf,
indonesia,FALSE,idr,
israel,FALSE,ils,
india,FALSE,inr,
iran,FALSE,irr,irr
japan,FALSE,jpy,jpy
south korea,FALSE,krw,krw
mexico,FALSE,mxn,mxn
malaysia,FALSE,myr,myr
nigeria,FALSE,ngn,ngn
norway,FALSE,nok,nok
new zealand,FALSE,nzd,nzd
philippines,FALSE,php,php
pakistan,FALSE,pkr,pkr
poland,TRUE,pln,pln
romania,TRUE,ron,ron
russia,FALSE,rub,rub
sweden,TRUE,sek,sek
singapore,FALSE,sgd,sgd
turkey,FALSE,try,try
ukraine,FALSE,uah,uah
united states,FALSE,usd,usd
south africa,FALSE,zar,xbt
,,,zar
