dev_role_private,dev_role_public
data scientist,data scientist
dba,database administrator
designer,graphic designer
desktop,desktop applications developer
dev w/ stats/math,developer with a statistics or mathematics background
devops,devops specialist
embedded,embedded applications/devices developer
graphics,graphics programming
ml specialist,machine learning specialist
mobile developer,mobile developer
other,other
qa,quality assurance engineer
sys admin,systems administrator
web developer,web developer
