employment_status_original,employment_status_consolidated
i prefer not to say,did not disclose
prefer not to disclose,did not disclose
employed full-time,employed full-time
employed part-time,employed part-time
freelance / contractor,"independent contractor, freelancer, or self-employed"
self-employed,"independent contractor, freelancer, or self-employed"
"independent contractor, freelancer, or self-employed","independent contractor, freelancer, or self-employed"
retired,retired
other (please specify),"unemployed, student, or other"
other,"unemployed, student, or other"
i'm a student,"unemployed, student, or other"
"not employed, and not looking for work","unemployed, student, or other"
"not employed, but looking for work","unemployed, student, or other"
unemployed,"unemployed, student, or other"
