industry_original,industry_consolidated
advertising,media and advertising
aerospace,manufacturing
aerospace or defense,manufacturing
automotive,manufacturing
defense,manufacturing
finance / banking,finance
"finance, banking, or insurance",finance
foundation / non-profit,nonprofit
government (including military),government
health care services,health care
healthcare,health care
i prefer not to answer,n/a
industrial equipment/heavy machinery,manufacturing
internet,internet or web services
media / advertising,media and advertising
"media, advertising, publishing, or entertainment",media and advertising
nonprofit/nongovernmental organizations,nonprofit
other (please specify),other
pharmaceuticals and/or medical devices,health care
software products,software
student,n/a
web services,internet or web services
retail,retail or wholesale trade
computer hardware or consumer electronics,consumer products
