language,language_label,is_back_end_language,is_front_end_language
c#,C#,TRUE,
c++,C++,TRUE,
erlang,Erlang,TRUE,
java,Java,TRUE,
php,PHP,TRUE,
python,Python,TRUE,
ruby,Ruby,TRUE,
c,C,TRUE,
perl,Perl,TRUE,
scala,Scala,TRUE,
sql,SQL,TRUE,
coffeescript,CoffeeScript,,TRUE
javascript,JavaScript,TRUE,TRUE
typescript,TypeScript,,TRUE
assembly,Assembly,,
clojure,Clojure,,
common lisp,Common Lisp,,
dart,Dart,,TRUE
elixir,Elixir,,
f#,F#,,
go,Go,,
groovy,Groovy,,
hack,Hack,,
haskell,Haskell,,
julia,Julia,,
lua,Lua,,
matlab,Matlab,,
objective-c,Objective-C,,
r,R,,
rust,Rust,,
smalltalk,Smalltalk,,
swift,Swift,,
vb.net,VB.NET,,
vba,VBA,,
visual basic 6,Visual Basic 6,,
